	cluster	avg_dist	std_dist	sum_dist	condition	duration	onset	run	type	image_path	category_nr	exemplar_nr	things_category_nr	things_image_nr	things_exemplar_nr	category_name
188	3.0	0.5878390442771181	0.16265642795532825	41.73657214367538	shown	2.98	232.44	3	fmri	images_fmri/bumper/bumper_01b.jpg	94	1	220.0	3293.0	1.0	bumper
189	13.0	0.5097433731869843	0.1589465354286283	6.626663851430795	shown	2.98	236.91	3	fmri	images_fmri/tab/tab_01b.jpg	623	1	1608.0	22711.0	1.0	tab
190	15.0	0.5029478613461286	0.10689089046097489	6.538322197499672	shown	2.98	241.38	3	fmri	images_fmri/footrest/footrest_01b.jpg	259	1	634.0	9143.0	1.0	footrest
191	40.0	0.5216741969243468	0.1512443451785221	6.781764560016509	shown	2.98	245.85	3	fmri	images_fmri/sandpaper/sandpaper_01b.jpg	537	1	1357.0	19297.0	1.0	sandpaper
192	23.0	0.6368639030343868	0.14467285290250928	8.279230739447028	shown	2.98	250.32	3	fmri	images_fmri/scorpion/scorpion_01b.jpg	546	1	1385.0	19664.0	1.0	scorpion
193	20.0	0.43012719618123363	0.1539928640728946	5.591653550356037	shown	2.98	254.79	3	fmri	images_fmri/face_mask/face_mask_01b.jpg	238	1	571.0	8256.0	1.0	face_mask
194	9.0	0.6351449187249016	0.15977335919467697	45.095289229468015	pos	4.0	0.0	3	fmri	images_fmri/kale/kale_01b.jpg	339	1	861.0	12306.0	1.0	kale
195	3.0	0.5878390442771181	0.16265642795532825	41.73657214367538	pos	4.0	5.0	3	fmri	images_fmri/bumper/bumper_01b.jpg	94	1	220.0	3293.0	1.0	bumper
196	0.0	0.5049493118202912	0.19720257732690513	35.34645182742039	neg	4.0	10.0	3	fmri	images_fmri/clock/clock_01b.jpg	152	1	360.0	5202.0	1.0	clock
197	4.0	0.5758814828376426	0.1294933594927729	40.887585281472624	neg	4.0	15.0	3	fmri	images_fmri/closet/closet_01b.jpg	153	1	361.0	5214.0	1.0	closet
198	8.0	0.4728314749884115	0.16645075926343308	33.57103472417722	neg	4.0	20.0	3	fmri	images_fmri/nail_polish/nail_polish_01b.jpg	418	1	1050.0	14947.0	1.0	nail_polish
199	7.0	0.6860828072385712	0.09588129385811706	48.71187931393855	neg	4.0	25.0	3	fmri	images_fmri/breadstick/breadstick_01b.jpg	84	1	197.0	2980.0	1.0	breadstick
200	6.0	0.568179933654498	0.13907939156208182	40.34077528946936	pos	4.0	30.0	3	fmri	images_fmri/christmas_tree/christmas_tree_01b.jpg	147	1	342.0	4933.0	1.0	christmas_tree
201	2.0	0.6237828543581344	0.12332715570624951	44.28858265942754	pos	4.0	35.0	3	fmri	images_fmri/raccoon/raccoon_01b.jpg	506	1	1267.0	18051.0	1.0	raccoon
202	1.0	0.44660411921964216	0.12547957730616027	31.708892464594594	neg	4.0	40.0	3	fmri	images_fmri/shield/shield_01b.jpg	555	1	1421.0	20155.0	1.0	shield
203	5.0	0.5605416085351339	0.14142863205329329	39.79845420599451	pos	4.0	45.0	3	fmri	images_fmri/hatbox/hatbox_01b.jpg	306	1	759.0	10860.0	1.0	hatbox
204	41.0	0.6443472749017737	0.09810265385939052	7.732167298821285	shown	2.98	0.0	4	fmri	images_fmri/tree_trunk/tree_trunk_01b.jpg	667	1	1710.0	24114.0	1.0	tree_trunk
205	39.0	0.6508968481128679	0.07241467898309244	7.810762177354414	shown	2.98	4.47	4	fmri	images_fmri/hamster/hamster_01b.jpg	302	1	744.0	10655.0	1.0	hamster
206	5.0	0.45262365931349796	0.20237247353396054	5.431483911761975	shown	2.98	8.94	4	fmri	images_fmri/train/train_01b.jpg	661	1	1699.0	23968.0	1.0	train
207	8.0	0.41765364738509764	0.09623676265148884	5.011843768621172	shown	2.98	13.41	4	fmri	images_fmri/face/face_01b.jpg	237	1	570.0	8244.0	1.0	face
208	49.0	0.5390887564425662	0.0918736107035896	6.469065077310794	shown	2.98	17.88	4	fmri	images_fmri/cufflink/cufflink_01b.jpg	191	1	459.0	6638.0	1.0	cufflink
209	51.0	0.5500096055792613	0.10488107830860707	6.600115266951135	shown	2.98	22.349999999999998	4	fmri	images_fmri/needle/needle_01s.jpg	421	1	1056.0	15029.0	1.0	needle
210	1.0	0.22092580346694968	0.07608960863556437	2.651109641603396	shown	2.98	26.82	4	fmri	images_fmri/jersey/jersey_01b.jpg	336	1	847.0	12106.0	1.0	jersey
211	47.0	0.49555331737347896	0.09999471207986434	5.946639808481748	shown	2.98	31.29	4	fmri	images_fmri/dollhouse/dollhouse_01b.jpg	207	1	501.0	7234.0	1.0	dollhouse
212	9.0	0.4060534413009274	0.1580207459505611	4.872641295611129	shown	2.98	35.76	4	fmri	images_fmri/cassette/cassette_01b.jpg	123	1	284.0	4150.0	1.0	cassette
213	18.0	0.6317705855034342	0.1572134972107928	7.58124702604121	shown	2.98	40.23	4	fmri	images_fmri/shirt/shirt_01s.jpg	557	1	1423.0	20180.0	1.0	shirt
214	0.0	0.5049493118202912	0.19720257732690513	35.34645182742039	shown	2.98	44.699999999999996	4	fmri	images_fmri/prism/prism_01b.jpg	497	1	1242.0	17662.0	1.0	prism
215	4.0	0.5427894053606488	0.14288837085276263	6.5134728643277855	shown	2.98	49.169999999999995	4	fmri	images_fmri/pan/pan_01b.jpg	440	1	1104.0	15705.0	1.0	pan
216	14.0	0.4206107883356132	0.18379096302205308	5.047329460027359	shown	2.98	53.64	4	fmri	images_fmri/extinguisher/extinguisher_01b.jpg	234	1	564.0	8159.0	1.0	extinguisher
217	35.0	0.6854867868801575	0.15020931493242354	8.22584144256189	shown	2.98	58.11	4	fmri	images_fmri/hippopotamus/hippopotamus_01b.jpg	316	1	782.0	11184.0	1.0	hippopotamus
218	7.0	0.6951000729435767	0.16087158115433098	8.34120087532292	shown	2.98	62.58	4	fmri	images_fmri/tamale/tamale_01b.jpg	630	1	1619.0	22855.0	1.0	tamale
219	4.0	0.5758814828376426	0.1294933594927729	40.887585281472624	shown	2.98	67.05	4	fmri	images_fmri/paperclip/paperclip_01s.jpg	446	1	1117.0	15883.0	1.0	paperclip
220	2.0	0.5533746135476437	0.23724896189908973	6.640495362571725	shown	2.98	71.52	4	fmri	images_fmri/camera2/camera2_01b.jpg	109	1	249.0	3678.0	1.0	camera2
221	12.0	0.4232345298641249	0.14186830160550695	5.078814358369499	shown	2.98	75.99	4	fmri	images_fmri/bell/bell_01b.jpg	49	1	117.0	1781.0	1.0	bell
222	16.0	0.5253725974938984	0.10601493802874229	6.3044711699267815	shown	2.98	80.46	4	fmri	images_fmri/walker1/walker1_01b.jpg	688	1	1774.0	25007.0	1.0	walker1
223	32.0	0.5489855888665709	0.16882336111856094	6.587827066398851	shown	2.98	84.92999999999999	4	fmri	images_fmri/hotplate/hotplate_01b.jpg	322	1	807.0	11537.0	1.0	hotplate
224	50.0	0.6388509802516475	0.14800158417656326	7.666211763019771	shown	2.98	89.39999999999999	4	fmri	images_fmri/alligator/alligator_01b.jpg	5	1	13.0	178.0	1.0	alligator
225	36.0	0.5188826100518649	0.17037492394493028	6.226591320622378	shown	2.98	93.86999999999999	4	fmri	images_fmri/pocket/pocket_01b.jpg	480	1	1206.0	17131.0	1.0	pocket
226	25.0	0.7079802613568839	0.1868208828729522	8.495763136282607	shown	2.98	98.33999999999999	4	fmri	images_fmri/cauliflower/cauliflower_01b.jpg	126	1	289.0	4219.0	1.0	cauliflower
227	15.0	0.5425768779612219	0.13737158465055654	6.510922535534663	shown	2.98	102.80999999999999	4	fmri	images_fmri/chess_piece/chess_piece_01b.jpg	137	1	318.0	4616.0	1.0	chess_piece
228	34.0	0.5318106179538936	0.11671994580543477	6.381727415446724	shown	2.98	107.28	4	fmri	images_fmri/rocking_chair/rocking_chair_01b.jpg	529	1	1322.0	18808.0	1.0	rocking_chair
