,frame_obj_1,frame_loc_1,frame_action_1,frame_obj_2,frame_loc_2,frame_action_2,frame_obj_3,frame_loc_3,frame_action_3,frame_obj_4,frame_loc_4,frame_action_4
112,974,0,9,975,0,9,973,0,True,973,0,True
113,974,0,9,975,0,9,974,0,True,973,0,True
114,974,0,9,975,0,9,975,0,True,973,0,True
115,974,0,9,974,0,9,974,0,True,974,0,True
116,974,0,9,974,0,9,975,0,True,974,0,True
117,974,0,9,975,0,9,140,0,False,974,0,True
118,974,0,9,975,0,9,973,0,True,974,0,True
119,974,0,9,975,0,9,974,0,True,974,0,True
120,974,0,9,975,0,9,975,0,True,974,0,True
121,974,0,9,974,0,9,975,0,True,975,0,True
122,974,0,9,975,0,9,140,0,False,975,0,True
123,974,0,9,975,0,9,973,0,True,975,0,True
124,974,0,9,975,0,9,974,0,True,975,0,True
125,974,0,9,975,0,9,975,0,True,975,0,True
126,975,0,9,975,0,9,140,0,False,140,0,False
127,975,0,9,975,0,9,973,0,True,140,0,False
128,975,0,9,975,0,9,974,0,True,140,0,False
129,975,0,9,975,0,9,975,0,True,140,0,False
130,975,0,9,975,0,9,973,0,True,973,0,True
131,975,0,9,975,0,9,974,0,True,973,0,True
132,975,0,9,975,0,9,975,0,True,973,0,True
133,975,0,9,975,0,9,974,0,True,974,0,True
134,975,0,9,975,0,9,975,0,True,974,0,True
135,975,0,9,975,0,9,975,0,True,975,0,True
